,NU_INSCRICAO,Nota
0,73ff9fcc02f0a99919906c942c2e1a1042cdcf98,444.547151764712
1,71a95f9f1b91a82c65ad94abbdf9f54e6066f968,432.1459413790462
2,b38a03232f43b11c9d0788abaf060f7366053b6d,578.1309697773959
3,70b682d9a3636be23f6120fa9d6b164eb3c6002d,479.6050665082951
4,715494628a50142ce8cb17191cfe6d0f3cae0934,536.4856055382747
5,e656d6bad65c93fb2880f1eba5037008c8e75774,467.3703529607057
6,465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,569.906975644679
7,11539e86171bf07d3a36f09377d7f54ebcc8406a,434.24162127984613
8,043c544a2104aa8a9849f1a703a08d37a2f16839,469.71783791878505
9,76ba050e64ad100b856f0eaabd8f539d5c7dd185,459.5422317049685
10,8b7c167ea7b55c8168ec60c3851b1b598a8fbd11,477.39951050598023
11,db4da599aab5bb08dce27094a35fd3e36cd0abce,478.9767832814535
12,940aede382ccb332fab15d413217695ec44ca765,450.64445155879315
13,9ad714b116da76d878dd399d187fccc2dd13dd63,570.4141097958338
14,dd34464a4d780b12a089347ad580418ac57a3055,528.848603788826
15,f837a4cb05a5fd59d20138182f5e8c721eadd584,483.8244420471157
16,fbfa8cde21a692b51fb86342110b4a334a0fcfdb,485.840667963907
17,ca8477c8493b09f34d17bb287f9bacf2dd744c32,482.28133657043793
18,8b0c675d7fde14953668269d378c588f0df0498b,484.34261407335276
19,051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,399.12905791605806
20,3d203727f27abd83b71732d88d8cb1cc099f363b,432.40291566238557
21,d30d31c8ff45094e9a992c63d4a6f68b245a341a,534.3553640209605
22,c0c6a803c271a955a7085a59cd3d4d43bcf7a1a6,472.3528278363063
23,cbc301183dec912f3513ca766bf03dd565f3a38f,491.1611824571361
24,856aa14bcd11bd289a3b970aab0ce1b166f2c50f,609.2698235181724
25,11282da1ee78c8db45a041db4c744e33df489df0,439.04848266520247
26,03c67f683a415c2ea09b582248bd4cb08528c19d,592.0384286270021
27,046e844fb06a07ba30b41521f0065a8d9c6e5024,380.5892006273879
28,b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,454.2863779235871
29,153eebe4d270fe850d2ede7f53cbc81a6f4ddf91,488.27557252159073
30,a4e821c6f16fdae0a26cbbb7018b75812dfd074b,471.73300525951794
31,f66c2e5ff22a95fa532e78c7c4bf1d145247211d,419.88763788602324
32,17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,566.332035822076
33,fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,500.9996184991727
34,a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,535.2895594085905
35,f8d4f9a26c5f2023c33701a8888f9c02513a02c7,474.9928763564411
36,9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,466.93027110142646
37,59bfa081e020013410d9f60f91813964ba749bb2,447.5869596495368
38,f5e069ee3bc95998464e8ff5da048b7f999921ed,440.94120188833347
39,e02240b518016d03a1b5bcc6d0a37b7a527ea93d,586.7116889877416
40,664f44258212a1f7e4086f2b4845d586c543fa3f,490.8487643463116
41,265cd7befa74a9f2a198fc57baec9858075f8419,435.8975463295946
42,6f9ac44919bbd204e0ef15185388fd2d4bc61253,502.6806881425105
43,78de1ee60b55766cc3eba4089e36c57139b66ebd,456.8508525531473
44,24550edb10f283ef4e953fd6a8fedbfa211bd456,470.55543452828954
45,1e61a474acdc043eb39a89c17fab34bd2ea1a940,430.16977863914576
46,940af68ded6af2875708611051aa7ff3f134d80b,506.0988236380962
47,e7ec3258f3b280c1ddf452d107fbdc9fb5a6b72e,496.27716046501376
48,c76ddf6e9f80984e901b12f9462a3cf029bea290,490.6346207130469
49,7d39df837488ca3fa6e512fd9e20ec7753b4c36d,460.499117510746
50,65bba36aa15f0c4ef3562ea56c125d931bc4ed63,498.3542140362135
51,1045c54b5ea9f6e08454ec57c47e4ce0e33190bd,482.70859170077546
52,92823d467a2ced9529801e0e8a94802dd88f0c17,436.1763966940593
53,9d0fbf9bf1bb039de65a6d0e143c9a791c62b941,579.3505586778379
